Nom	Latitud	Longitud	Telèfon 1	Telèfon 2	Adreça	Barri	Districte	Codi Postal	Ciutat	Regio	Pais	Web	Propietari	Correu electrònic
Restaurant Taverna el Racó de Sants	41.375038897222225	2.1390154444444445	+34 934216422		C Guadiana 6	Sants	Sants-Montjuïc	08014	BARCELONA	BARCELONA	ESPANYA		BORRELL GALVE JUAN AT	
Restaurant Telepizza *Rbla Guipuscoa	41.41652918611111	2.196973555555555	+34 932662772	+34 902122122	Rbla Guipúscoa 55	Sant Martí de Provençals	Sant Martí	08020	BARCELONA	BARCELONA	ESPANYA	http://www.telepizza.es	MIXOR SA	
Bar Quimet	41.43072114444444	2.1607156388888886	+34 933581916		Pl Eivissa 10	Horta	Horta-Guinardó	08032	BARCELONA	BARCELONA	ESPANYA		JALMAR PUJOL JAIME	
Restaurant El Cocinero	41.41087545833333	2.179508861111111	+34 934364623		C Independència 340	el Camp de l'Arpa del Clot	Sant Martí	08026	BARCELONA	BARCELONA	ESPANYA		EL COCINERO SA	
Bar Restaurant 202	41.411364325	2.1769974444444444	+34 933481739		C Indústria 202	el Camp de l'Arpa del Clot	Sant Martí	08026	BARCELONA	BARCELONA	ESPANYA		MARTIN RAMO CLAUDIO P	
Restaurant Infanta Carlota	41.38157009722222	2.1416644444444444	+34 934191694	+34 934301804	Av Josep Tarradellas 5*7	Sants	Sants-Montjuïc	08029	BARCELONA	BARCELONA	ESPANYA		RESTAURANTE INFANTA CARLOTA SL	
Bar Joan	41.38756628888889	2.1432449444444446	+34 934303646		Av Josep Tarradellas 0084	la Nova Esquerra de l'Eixample	Eixample	08029	BARCELONA	BARCELONA	ESPANYA		LOPEZ CORULLON JUAN P	
Restaurant Yashima	41.391003052777776	2.143460777777778	+34 934190697	+34 934108025	Av Josep Tarradellas 145	les Corts	Les Corts	08029	BARCELONA	BARCELONA	ESPANYA		YAMASHITA SA	
Restaurant La Botiga *Av. Josep Tarradellas	41.39170445833333	2.143728277777778	+34 934102704	+34 933223989	Av Josep Tarradellas 155	les Corts	Les Corts	08029	BARCELONA	BARCELONA	ESPANYA	http://www.angrup.com	FRANCISCO Y HERMANO SA	
Restaurant La Balsa	41.410843794444446	2.130347111111111	+34 932115048	+34 934184606	C Infanta Isabel 4	Sant Gervasi - la Bonanova	Sarrià-Sant Gervasi	08022	BARCELONA	BARCELONA	ESPANYA		MONTCEL SA	
Restaurant St. Rémy	41.40391263611111	2.1260375833333334	+34 934187504	+34 934340434	C Iradier 12	Sant Gervasi - la Bonanova	Sarrià-Sant Gervasi	08017	BARCELONA	BARCELONA	ESPANYA	http://www.stremyrestaurant.com	HELADIA SA	
Restaurant Pescadito Alegre	41.37701617222222	2.1253729166666666	+34 934497008		C Jaume Roig 43	Sants - Badal	Sants-Montjuïc	08028	BARCELONA	BARCELONA	ESPANYA		PENA VILLADONIGA JOSE	
Restaurant Rovell d'Ou	41.387175891666665	2.1129562222222225	+34 932057871		Jordi Girona 6	Pedralbes	Les Corts	08034	BARCELONA	BARCELONA	ESPANYA		ROBRES ESTELLER EMILI	
Restaurant Zure Etxea	41.38725212222222	2.1132662222222223	+34 932038390		Jordi Girona 10	Pedralbes	Les Corts	08034	BARCELONA	BARCELONA	ESPANYA		SERRANO SERRANO M LUISA	zureetxea@telefonica.net
Bar Restaurant La Fuente	41.37117877777778	2.144448833333333	+34 934254727		G.V. Corts Catalanes 272	la Font de la Guatlla	Sants-Montjuïc	08004	BARCELONA	BARCELONA	ESPANYA		RECASENS ROSELLO DOLORES	
Restaurant Braseria Myaro	41.37223901388889	2.1449783333333334	+34 933259611		G.V. Corts Catalanes 295	Hostafrancs	Sants-Montjuïc	08014	BARCELONA	BARCELONA	ESPANYA		MYARO SL	
Restaurant Pizzeria Candela	41.37293736666667	2.1459053333333333	+34 934246152		G.V. Corts Catalanes 325	Hostafrancs	Sants-Montjuïc	08014	BARCELONA	BARCELONA	ESPANYA		RESTAURANTE CANDELA SCP	
Restaurant Plató	41.37671277222222	2.151847861111111	+34 933252548	+34 618869275	G.V. Corts Catalanes 408	Sant Antoni	Eixample	08015	BARCELONA	BARCELONA	ESPANYA		ANGUEZ CORRAL ELIAS M	
Restaurant Pizzeria Piccata	41.38040116944445	2.155832222222222	+34 934245314		G.V. Corts Catalanes 489 bxs	la Nova Esquerra de l'Eixample	Eixample	08015	BARCELONA	BARCELONA	ESPANYA		CASADO PALOMARES JOSE BENEDITO	
Restaurant Ordesa	41.381769025	2.1585288055555556	+34 934531189		G.V. Corts Catalanes 522	Sant Antoni	Eixample	08011	BARCELONA	BARCELONA	ESPANYA		BARROSO SALGADO ANSELMO	
Bar Solo Marienbad	41.38550320277778	2.1626266666666667	+34 934545333		G.V. Corts Catalanes 583	l'Antiga Esquerra de l'Eixample	Eixample	08011	BARCELONA	BARCELONA	ESPANYA		DIAZ PALOMO MANUEL	
Berriketa Euskal Taberna	41.38657339444445	2.16492	+34 933017928		G.V. Corts Catalanes 596	la Dreta de l'Eixample	Eixample	08007	BARCELONA	BARCELONA	ESPANYA		FRADES JULVE EDUARDO	
Restaurant Cerveseria Salsitxeria Otto Sylt *Gran Via	41.38800978888889	2.1668339444444444	+34 934125168	+34 934125168	G.V. Corts Catalanes 622 bxs	la Dreta de l'Eixample	Eixample	08007	BARCELONA	BARCELONA	ESPANYA	http://www.angrup.com	OTTO, SYLT, S. A.	ang@angrup.com
Restaurant El Chato	41.39717263611111	2.178151722222222	+34 932452169	+34 933300303	G.V. Corts Catalanes 697 bxs	el Fort Pienc	Eixample	08013	BARCELONA	BARCELONA	ESPANYA	http://www.bcnrestaurantes.com/barcelona.asp?restaurante=el-chato	ELORZA GARCIA AGUSTIN	eva@restaurantwindsor.com
Bar Restaurant La Sirena	41.39695744722222	2.178744111111111	+34 932453365		G.V. Corts Catalanes 734	el Fort Pienc	Eixample	08013	BARCELONA	BARCELONA	ESPANYA		RODRIGUEZ GOMEZ GABRIEL	
Restaurant Pizza Bull	41.41008779444444	2.196666111111111	+34 932660227		G.V. Corts Catalanes 972	Provençals del Poblenou	Sant Martí	08018	BARCELONA	BARCELONA	ESPANYA		MOZO GONZALEZ JUAN	
Bar Restaurant Xaica-1	41.38536387222222	2.167762944444444	+34 933178543	+34 933181697	C Jovellanos 7	el Raval	Ciutat Vella	08001	BARCELONA	BARCELONA	ESPANYA		RESTAURACION Y AUTOSERVICIO SA	
Restaurant Can Barça	41.38661755277778	2.129515388888889	+34 933223723		Joan Güell 230	les Corts	Les Corts	08028	BARCELONA	BARCELONA	ESPANYA		CAN BARCA DE JOAN GUELL, S.A	
Restaurant Mistos	41.43062451388889	2.147663722222222	+34 934282137	+34 934280294	C Juan de Mena 1	la Vall d'Hebron	Horta-Guinardó	08035	BARCELONA	BARCELONA	ESPANYA		NUÑEZ SANTIN JOSE O	
Rapsodia Club	41.39597996388889	2.13959	+34 932655761		C Johann Sebastian Bach 20	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA		POCIELLO NOGUES RAMIRO	
Bar Restaurant Braseria Sibelius	41.41037113611111	2.1858063611111107	+34 932452195		C Sibelius 5	el Camp de l'Arpa del Clot	Sant Martí	08026	BARCELONA	BARCELONA	ESPANYA		RUIZ VALERO MODESTA	
Bar. restaurant Conde Drácula	41.44097347222222	2.1771980555555555	+34 933508289		Via Júlia 68	la Prosperitat	Nou Barris	08016	BARCELONA	BARCELONA	ESPANYA		OLIVER GIMENO JOAQUIN	
Restaurant La Rosca	41.386168805555556	2.174843222222222	+34 933025173		C Julià Portet 6	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA		VELLVE ABELLA ALBERTO	
Restaurant Octubre	41.3975612	2.153474638888889	+34 932182518		C Julián Romea 18	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08006	BARCELONA	BARCELONA	ESPANYA		MONNE VILARDOSA ENRIQUE	
Restaurant Brasserie Flo	41.38822961111111	2.17416125	+34 933193102		C Jonqueres 10	Sant Pere, Santa Caterina i la Ribera	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA		GROUPE FLO RESTAURATION ESPAÑA SA	reservas-flo@grupglo.es
Restaurant Xinès Cantón	41.39886051111111	2.1494708888888887	+34 934150783	+34 934150783	C Laforja 23	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08006	BARCELONA	BARCELONA	ESPANYA		NG LIM KAM LEE	
Bar Restaurant Lauria II	41.38994416944444	2.17324775	+34 933018675	+34 933018675	C Roger de Llúria 2	la Dreta de l'Eixample	Eixample	08010	BARCELONA	BARCELONA	ESPANYA		PABLO DE MORENO HILARIO	
Restaurant Xarcuteria Casa Alfonso	41.39006253611111	2.1730894722222223	+34 933019783	+34 934120460	C Roger de Llúria 6	la Dreta de l'Eixample	Eixample	08010	BARCELONA	BARCELONA	ESPANYA	http://www.casaalfonso.com	GARCIA HERNANDEZ ALFONSO	info@casaalfonso.com
Restaurant Platero	41.38221318611111	2.181230444444444	+34 933103011	+34 932680104	Via Laietana 4*6	Sant Pere, Santa Caterina i la Ribera	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA		PLATERO SA	
Restaurant Camí de la Fusta	41.38299346944444	2.180196972222222	+34 933102934		Via Laietana 12	Sant Pere, Santa Caterina i la Ribera	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA		LAYET SL	
Restaurant Pizzeria La Perla Nera	41.38516964722222	2.177318861111111	+34 933105646		Via Laietana 32	Sant Pere, Santa Caterina i la Ribera	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA		RESTAURANTE AUTOSERVICIO SA	
Restaurant La Habana	41.381965775	2.1650218888888886	+34 933022106		C Lleó 1	Pedralbes	Ciutat Vella	08001	BARCELONA	BARCELONA	ESPANYA		MOSEGUI FONT RAFAEL	
Restaurant Sol i Lluna	41.41137697222222	2.1373914166666665	+34 934185824		C Lleó XIII 0011	Sant Gervasi - la Bonanova	Sarrià-Sant Gervasi	08022	BARCELONA	BARCELONA	ESPANYA			
Restaurant La Barbacoa de l'Eixample	41.407201091666664	2.1728265277777776	+34 933476636		C Lepant 323	la Sagrada Família	Eixample	08025	BARCELONA	BARCELONA	ESPANYA			
Restaurant Rias de Galicia	41.37424314166667	2.1545760555555553	+34 934248152	+34 934261307	C Lleida 7	el Poble Sec	Sants-Montjuïc	08004	BARCELONA	BARCELONA	ESPANYA	http://www.riasdegalicia.com	RIAS DE GALICIA SA	info@riasdegalicia.com
Restaurant La Parra	41.37509928611111	2.1409046944444445	+34 933325134		C Joanot Martorell 3	Hostafrancs	Sants-Montjuïc	08014	BARCELONA	BARCELONA	ESPANYA		GIL ISERN CARLOS	
Bar Conesa *Creu Coberta	41.37533824444444	2.1441185	+34 934315541		C Creu Coberta 80	Hostafrancs	Sants-Montjuïc	08014	BARCELONA	BARCELONA	ESPANYA	http://www.conesaentrepans.com	CONESA ALBADALEJO PEDRO	clients@conesaentrepans.com
Bar Cafeteria Mesón del Café	41.383257075	2.177507583333333	+34 933150754		Llibreteria 0016	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA		PELIGROS CALLEJA ANTONIO	
Restaurant La Nao	41.38967724166667	2.145546527777778	+34 934309186		C Londres 35	la Nova Esquerra de l'Eixample	Eixample	08029	BARCELONA	BARCELONA	ESPANYA		RESTAURANTE LA NAO SCL	
Restaurant Il Comodoro	41.390932630555554	2.1475731666666666	+34 933212500	+34 933212500	C Londres 54 bxs	l'Antiga Esquerra de l'Eixample	Eixample	08036	BARCELONA	BARCELONA	ESPANYA		COMODORO II SA	commox@yahoo.es
Restaurant Londres	41.39273011666667	2.149592222222222	+34 933218716		C Londres 77	l'Antiga Esquerra de l'Eixample	Eixample	08036	BARCELONA	BARCELONA	ESPANYA		VAZQUEZ CAAMAÑO MANUEL	
Bar Restaurant Dialo	41.39174865555555	2.142772861111111	+34 934103079		Loreto 52	les Corts	Les Corts	08029	BARCELONA	BARCELONA	ESPANYA		SILVA MARIN ANTONIO	
Restaurant Ca La Teresa	41.400337844444444	2.197898083333333	+34 933091484		C Roc Boronat 70	el Poblenou	Sant Martí	08005	BARCELONA	BARCELONA	ESPANYA		CANALS CASTELLO TERESA	
Restaurant Japonès Bun Sishi	41.393258116666665	2.149771	+34 934305122	+34 934193115	Ptge Lluís Pellicer 20	l'Antiga Esquerra de l'Eixample	Eixample	08036	BARCELONA	BARCELONA	ESPANYA	http://www.bunsichi.com	TAKASHI KOMURA	
Restaurant Cafè de l'Acadèmia	41.382908191666665	2.1785656388888888	+34 933198253	+34 932684965	C Lledó 1	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA		CAFE DE L'ACADEMIA SA	
Restaurant Ariadna	41.396056180555554	2.144791027777778	+34 932099952		C Laforja 83	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA		LA SANDWICHERIA, SL	
Restaurant Da Paolo	41.37809453333333	2.12645825	+34 934904891		Av Madrid 63*73	la Maternitat i Sant Ramon	Les Corts	08028	BARCELONA	BARCELONA	ESPANYA	http://www.dapaolo.es	RESTAURANTE DA PAOLO SA	dapaolo@dapaolo.es
Restaurant Juan	41.44962256944444	2.191024944444444	+34 933453013		C Madriguera 47	la Trinitat Vella	Sant Andreu	08033	BARCELONA	BARCELONA	ESPANYA		FERRER JAVIERRE PEDRO	
Dole Café	41.393468383333335	2.1254036666666667	+34 932041120		C Manuel de Falla 16-18	Sarrià	Sarrià-Sant Gervasi	08034	BARCELONA	BARCELONA	ESPANYA		MATEU ROCHER LEANDRO	
Restaurant Gota d'Or	41.39391675	2.125527027777778	+34 932031001	+34 932032237	C Manuel de Falla 17	Sarrià	Sarrià-Sant Gervasi	08034	BARCELONA	BARCELONA	ESPANYA		OLIVETO SL	
Restaurant El Loro Blanco	41.393468383333335	2.1254036666666667	+34 932046323		C Manuel de Falla 24	Sarrià	Sarrià-Sant Gervasi	08034	BARCELONA	BARCELONA	ESPANYA		PEREZ LOPEZ CANDIDO	
Restaurant Taita	41.393092841666665	2.1419751944444445	+34 934140352		C Mestre Nicolau 9 bxs	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA		SANTOLL MAJOS JOSE	
Restaurant Cafè de Paris	41.39426517222222	2.143331972222222	+34 932001914		C Mestre Nicolau 16	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA		SANDOVAL GUTIERREZ JESUS	
Restaurant La Tomaquera	41.37231015555555	2.1630167777777776			C Margarit 58	el Poble Sec	Sants-Montjuïc	08004	BARCELONA	BARCELONA	ESPANYA		VIRGO SORRIBAS M CARMEN	
Restaurant Can Pescallunes	41.386443030555554	2.1745028888888887	+34 933185483		C Magdalenes 23	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA		TERRICABRAS COLA RAMON	
Restaurant JJ	41.37895758611111	2.14309225	+34 934261684	+34 934268933	C Mallorca 18*20	Hostafrancs	Sants-Montjuïc	08014	BARCELONA	BARCELONA	ESPANYA		ORDORA SA	
Restaurant El Caballito Blanco	41.39009182777778	2.1577771666666665	+34 934531033	+34 934539616	C Mallorca 196 bxs	l'Antiga Esquerra de l'Eixample	Eixample	08036	BARCELONA	BARCELONA	ESPANYA		CAÑABATE CLAU JOSE	
Restaurant Lizarrán *Mallorca	41.393437041666665	2.16184675	+34 934872602	+34 902400046	C Mallorca 257	la Dreta de l'Eixample	Eixample	08008	BARCELONA	BARCELONA	ESPANYA	http://www.lizarran.com	HOSTINTER SL	
Cerveseria Restaurant Nuremberg	41.414036369444446	2.1890890555555553	+34 933511655		C Mallorca 645	Navas	Sant Andreu	08027	BARCELONA	BARCELONA	ESPANYA		SANTOS ASENJO MARTIN	
Bar Restaurant Montesquiu	41.40461825277777	2.1325325833333335	+34 934173061		C Mandri 56	Sant Gervasi - la Bonanova	Sarrià-Sant Gervasi	08022	BARCELONA	BARCELONA	ESPANYA		VERTICE DE HOSTELERAS SA	
Restaurant Can Ventura	41.40359345277778	2.1437256666666666	+34 932111794		C Manuel Angelon 24	el Putxet i el Farró	Sarrià-Sant Gervasi	08006	BARCELONA	BARCELONA	ESPANYA		VENTURA IGLESIAS JOSE MARIA	
Restaurant Can Ramonet	41.38083230555556	2.188923055555555	+34 933193064	+34 933197014	C Maquinista 17	la Barceloneta	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA	http://www.canramonetrestaurant.com	CAN RAMONET SCP	
Restaurant Cantina Mexicana Chihuahua	41.418847138888886	2.1803885555555556	+34 934 460 391		Pg Maragall 107	el Guinardó	Horta-Guinardó	08041	BARCELONA	BARCELONA	ESPANYA		L ONADA SCCL	
Bar Restaurant Sidney	41.42515431111111	2.1765916111111108	+34 933519309		Pg Maragall 176	el Congrés i els Indians	Sant Andreu	08027	BARCELONA	BARCELONA	ESPANYA		SIDNEY SA	
Restaurant Celpe	41.424180255555555	2.1770771666666664	+34 933492979		Pg Maragall 203	el Guinardó	Horta-Guinardó	08041	BARCELONA	BARCELONA	ESPANYA		CELMA CUBELES JOSE	
Restaurant Maruzella	41.42738096944444	2.169480138888889	+34 933571282		Pg Maragall 304	Vilapicina i la Torre Llobeta	Nou Barris	08031	BARCELONA	BARCELONA	ESPANYA		HADIDIAN SEMERDJIAN ALBERTO	
Restaurant Telepizza *Pg Maragall	41.42800259722222	2.1643519444444443	+34 934295536		Pg Maragall 368	Vilapicina i la Torre Llobeta	Nou Barris	08031	BARCELONA	BARCELONA	ESPANYA	http://www.telepizza.es	MIXOR SA	
Restaurant Ongui Etorri	41.415029624999995	2.2124656666666667	+34 932661042		C Maresme 106	el Besòs i el Maresme	Sant Martí	08019	BARCELONA	BARCELONA	ESPANYA		RUBIO RINCON ROSARIO	
Restaurant Xinès La Gran Muralla 3	41.39697828333333	2.1473756388888887	+34 932099379		C Marià Cubí 92	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA		CHUANG RAFI JOSE	
Bar Restaurant La Teya	41.39481238055556	2.14394275	+34 932003254		C Marià Cubí 203	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA		PRADO FERNANDEZ M CARMEN	
Restaurant Casa Jordi	41.39451113055556	2.1477334722222223	+34 932001118	+34 932098710	Ptge Marimon 18	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA		RESTAURACION CASA JORDI SA	casajordi@casajordi.es
Bar Restaurant Baviera	41.40303226388889	2.176163	+34 932324302		C Marina 241	la Sagrada Família	Eixample	08013	BARCELONA	BARCELONA	ESPANYA		RODRIGUEZ FERREIRO CLAUDIO	
Restaurant El Felino	41.40500064166667	2.1735880555555553	+34 934367713		C Marina 269 bxs	la Sagrada Família	Eixample	08025	BARCELONA	BARCELONA	ESPANYA		SORRIBAS CORTES FERMIN	
Bar Argentina	41.407686041666665	2.1700392777777777	+34 934553115		Marina 0325	la Sagrada Família	Eixample	08025	BARCELONA	BARCELONA	ESPANYA		DONISA TAHULL RAMIRO	
Bar Restaurant Pizzeria El Paralelo	41.37481429166667	2.156354583333333	+34 934245341		Av Paral.lel 167	el Poble Sec	Sants-Montjuïc	08004	BARCELONA	BARCELONA	ESPANYA		GONZALEZ GONZALEZ RICARDO	
Bar Montseny	41.37524922222222	2.150613722222222	+34 934237427		Av Paral.lel 206	Sant Antoni	Eixample	08015	BARCELONA	BARCELONA	ESPANYA		GIRBAU VERGES TERESA	
Restaurant Con Gracia	41.39902903055555	2.160035972222222	+34 932380201	+34 932380201	C Martínez de la Rosa 8	la Vila de Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA		ARMESTO MONTES AURORA	
Pizzeria Cuatro	41.38555936666667	2.1295700277777776	+34 933306860		C Dolors Masferrer i Bosch 4	les Corts	Les Corts	08028	BARCELONA	BARCELONA	ESPANYA		SUAREZ QUIROS CARLOS ALBERTO	
Restaurant La Maduixa	41.38534961388889	2.1288977222222223	+34 933395886		C Dolors Masferrer i Bosch 18	les Corts	Les Corts	08028	BARCELONA	BARCELONA	ESPANYA		SERRANO PELEGRI CARMEN	
Bar Teteria Jazmín	41.401210263888885	2.156374861111111	+34 932187184		C Maspons 11	la Vila de Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA		TORRES MELGOSA JOSE	
Restaurant Sporting	41.40120241666666	2.1565035277777778	+34 932188578	+34 932370328	C Maspons 16	la Vila de Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA		PEDRO LOPEZ E HIJOS,S.C.P.	
Restaurant Can Xurrades	41.399495538888885	2.155728972222222	+34 932173097	+34 932173097	C Gran de Gràcia 57	la Vila de Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	http://www.canxurrades.com	BAR RESTAURANTE SABIN SCL	rafa@canxurrades.com
Restaurant Botafumeiro	41.400430944444444	2.1546171944444446	+34 932184230	+34 932171305	C Gran de Gràcia 81	la Vila de Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	http://www.botafumeiro.com	TURISMO HOTELES RESTAURANTESSA	info@botafumeiro.es
Bar Restaurant La Victoria	41.402223355555556	2.1529711666666667	+34 932370757		C Gran de Gràcia 160	la Vila de Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA		TEGNO BAR SA	
Restaurant Sant Yago	41.40539896666667	2.1508250277777776	+34 932371648	+34 932378639	C Gran de Gràcia 256	la Vila de Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA		PEREZ VIDAL ALFONSO	
Bar Can Tomás	41.39757398611111	2.1230531944444446	+34 932031077		C Major de Sarrià 49	Sarrià	Sarrià-Sant Gervasi	08017	BARCELONA	BARCELONA	ESPANYA		BETORZ BETORZ ANTONIO	
Restaurant Casa Joana	41.398053491666666	2.1224883055555557	+34 932031036	+34 932032306	C Major de Sarrià 59	Sarrià	Sarrià-Sant Gervasi	08017	BARCELONA	BARCELONA	ESPANYA		JORNET GARCIA RAMON	
Restaurant Tram Tram	41.40074349722222	2.1205225	+34 932048518	+34 932056352	C Major de Sarrià 121	Sarrià	Sarrià-Sant Gervasi	08017	BARCELONA	BARCELONA	ESPANYA	http://www.reisole.es	RESTAURANTE TRAM TRAM SL	
Restaurant Ca La Tresa	41.40033591388889	2.121157833333333	+34 932030429	+34 932030429	C Major de Sarrià 128	Sarrià	Sarrià-Sant Gervasi	08017	BARCELONA	BARCELONA	ESPANYA		CIVIT MARTINEZ M ASUNCION	calatresa@mailpersonal.com
Restaurant Mejico	41.37241568611111	2.148787583333333	+34 933256443		C Mèxic 26	la Font de la Guatlla	Sants-Montjuïc	08004	BARCELONA	BARCELONA	ESPANYA		VALLVERDU OLIVAN CARMEN	
Restaurant Pizza Ràpid *Torrent de l'Olla	41.40436613888889	2.15462725	+34 932376448		C Torrent de l'Olla 157	la Vila de Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA		PIZZA RAPID SA	
Bar Restaurant L'Olla	41.406693675	2.151752777777778	+34 932186056		C Torrent de l'Olla 203	la Vila de Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA		FERNANDEZ SEIJAS MERCEDES	
Bar Restaurant Rabasseda	41.434666674999995	2.1887514444444442	+34 933451017		Pl Mercadal 1	Sant Andreu	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA		BURGUES ARIET MARIA	
Bar Restaurant Alastruey	41.38531476944444	2.1779345833333332	+34 933191132		C Mercaders 24	Sant Pere, Santa Caterina i la Ribera	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA		GIL JIMENEZ JOSEFA	
Bar Celta	41.379907875	2.18018775	+34 933150006		C Mercè 16	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA	http://www.barceltapulperia.com	BUJAN BUJAN OSCAR	
Restaurant Cantonata *Av Meridiana	41.39255196111111	2.1865499444444443	+34 934852702	+34 933209727	Av Meridiana 11	el Parc i la Llacuna del Poblenou	Sant Martí	08018	BARCELONA	BARCELONA	ESPANYA		PIZZERIA HOSTELERIA SA	
Restaurant Gamo	41.40790422222222	2.1865641111111107	+34 932452002		Av Meridiana 111	el Clot	Sant Martí	08026	BARCELONA	BARCELONA	ESPANYA		GAMO SOMOLINOS ANGELES	
Restaurant Xarcuteria Pizza Ràpid *Av Mistral	41.37749871111111	2.158763638888889	+34 934239680		Av Mistral 10	Sant Antoni	Eixample	08015	BARCELONA	BARCELONA	ESPANYA		PIZZA RAPID SA	
Restaurant Pizzeria El Atico	41.376561063888886	2.1553179166666667	+34 933250054		Av Mistral 44	Sant Antoni	Eixample	08015	BARCELONA	BARCELONA	ESPANYA			
Ristorante Roberta	41.39819939722222	2.148025722222222	+34 932008729		C Moliné 1	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08006	BARCELONA	BARCELONA	ESPANYA		PIROVANO FERRUCCIO	
Bar Restaurant Els Quatre Gats	41.38600915833333	2.173499777777778	+34 933024140	+34 933174033	C Montsió 3	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA	http://www.4gats.com	CAFES ACTUALS DE MONTSIO SA	4gats@4gats.es
Restaurant Els Actuals	41.385790505555555	2.173837888888889	+34 933015308		C Montsió 5	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA		VERDAGUER ROSAS ANNA M	
Bar Cherpi	41.408432258333335	2.1374589444444445	+34 934173077		C Moragas 21	Sant Gervasi - la Bonanova	Sarrià-Sant Gervasi	08022	BARCELONA	BARCELONA	ESPANYA		ESPERT ESTANY JOSE	
Bar Restaurant La Fuente	41.44221684722222	2.1871709999999998	+34 933119705		Pl Mossèn Clapés 14	Sant Andreu	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA		RODRIGUEZ QUIÑONES RAMON	
Bar L'Anxoveta	41.39984006388889	2.156595388888889	+34 934159223		Sant Domènec 0014*0016	la Vila de Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA		BALCELLS GASULLA LUIS	
Bar Restaurant Cosmopolita	41.38418958611111	2.1628081666666668	+34 934530075	+34 934536483	C Muntaner 6 Baix	Sant Antoni	Eixample	08011	BARCELONA	BARCELONA	ESPANYA	http://www.cosmopolitaclub.com	LA SOPETA SA	info@cosmopolitaclub.com
Bar Restaurant Can Pagès	41.385409333333335	2.161196861111111	+34 934536578	+34 934536578	C Muntaner 28	l'Antiga Esquerra de l'Eixample	Eixample	08011	BARCELONA	BARCELONA	ESPANYA		GARCIA ANDREU BLAS	
Bar Restaurant Río Grande	41.38878565277778	2.1563624722222223	+34 934531700	+34 934531700	C Muntaner 103	l'Antiga Esquerra de l'Eixample	Eixample	08036	BARCELONA	BARCELONA	ESPANYA		COLLADO CARCELEN LUIS	
Restaurant L'Olivé	41.38916575277778	2.1626395555555553	+34 934521990	+34 934512418	C Balmes 47	l'Antiga Esquerra de l'Eixample	Eixample	08007	BARCELONA	BARCELONA	ESPANYA	http://www.rte-olive.com	JOSEP OLIVE CARBONELL SA	
Restaurant Casa Julio	41.40104975277777	2.1400979444444443	+34 932016007		C Muntaner 439	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA		MARTINEZ PEREZ RUFINO	
Restaurant Port Vell	41.37980243888889	2.187712722222222	+34 932217140	+34 932215060	Pg J Borbó Comte Barcelona 20	la Barceloneta	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA		NONELL E HIJOS,S.L.	
